# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	resources\simon0.png	116	116	116
20	resources\object.png	255	0	225
# id	left	top	right	bottom	texture_id
[SPRITES]
#SIMON
#idle
50000	1	21	17	52	0
#walking 
50001	29	21	45	52	0
50002	46	21	58	52	0
50003	63	21	78	52	0
#jump 
50004	84	29 	100 	52	0
#sit 
50005	84	21 	100 	52	0
#attack
51001	1	79 	25	109	0
51002	26	79	42	109	0
51003	45	79 	67	109	0
#sit attack
52001	147	86	171	109	0
52002	172	86	188	109	0
52003	191	86	213	109	0
#BRICK
20001	98	121	114	136	20
						
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== BRICK =========
601	20001	100

# ==== SIMON  =========
#idle 
900	50000	100
#walking 
901	50001	100	50002	100	50003	100
#jump 
902	50004	100
#sit 
903	50005	100
#attack 
914	51001	100	51002	100	51003	100
#sit attack
915	52001	100	52002	100	52003	100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# SIMON
0	900	901	902	903	914	915
# BRICK 
2	601

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Simon , 1 = Brick, 2 = Goomba

# SIMON
0	48.0	0	0

# BRICK 
# --- platform (hint: I created the list using Excel!) ----
1	0	170	2
1	16	170	2
1	32	170	2
1	48	170	2
1	64	170	2
1	80	170	2
1	96	170	2
1	112	170	2
1	128	170	2
1	144	170	2
1	160	170	2
1	176	170	2
1	192	170	2
1	208	170	2
1	224	170	2
1	240	170	2
1	256	170	2
1	272	170	2
1	288	170	2
1	304	170	2
1	320	170	2
1	336	170	2
1	352	170	2
1	368	170	2
1	384	170	2
1	400	170	2
1	416	170	2
1	432	170	2
1	448	170	2
1	464	170	2

# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
50	360	98	0	316	150	2

